time,x,y,vx,vy,energy,angular_momentum
1.212,0.23657951167351393,0.9716198871850423,-6.104761542612362,1.4865090529913896,-19.739208799242824,6.2831853071795685
1.213,0.2304700803440869,0.9730872176637524,-6.113980522804249,1.4481229446153148,-19.73920879921933,6.2831853071795685
1.214,0.22435155062790543,0.974516133074273,-6.122958136572758,1.4096796748936349,-19.739208799195804,6.2831853071795685
1.215,0.21822416407094136,0.9759065770135397,-6.13169402958914,1.3711807615017377,-19.73920879917225,6.2831853071795685
1.216,0.21208816256872715,0.9772584945972764,-6.140187857067624,1.3326277243106275,-19.739208799148646,6.283185307179568
1.217,0.2059437883568061,0.978571832462161,-6.148439283779017,1.2940220853269175,-19.739208799125024,6.2831853071795685
1.218,0.1997912840011691,0.9798465387679303,-6.156447984063918,1.25536536863274,-19.73920879910136,6.2831853071795685
1.219,0.19363089238867826,0.9810825631994264,-6.164213641845568,1.216659100325573,-19.739208799077677,6.2831853071795685
1.22,0.18746285671747795,0.9822798569685814,-6.17173595064231,1.1779048084579888,-19.73920879905395,6.2831853071795685
1.221,0.18128742048739363,0.9834383728163424,-6.179014613579675,1.1391040229773253,-19.739208799030205,6.283185307179568
1.222,0.1751048274903186,0.984558065014536,-6.1860493434020905,1.1002582756652814,-19.739208799006434,6.283185307179568
1.223,0.16891532180058946,0.9856388893676729,-6.192839862484205,1.0613691000774428,-19.73920879898263,6.283185307179568
1.224,0.1627191477653502,0.9866808032146909,-6.199385902841836,1.0224380314827348,-19.739208798958803,6.283185307179568
1.225,0.1565165499949058,0.9876837654306383,-6.205687206142533,0.9834666068028101,-19.739208798934953,6.283185307179568
1.226,0.15030777335306517,0.9886477364282964,-6.211743523715764,0.9444563645513699,-19.73920879891108,6.283185307179568
1.227,0.1440930629474743,0.989572678159741,-6.217554616562718,0.905408844773424,-19.739208798887187,6.283185307179568
1.228,0.13787266411993973,0.9904585541178433,-6.223120255365726,0.8663255889844885,-19.73920879886326,6.283185307179568
1.229,0.13164682243674283,0.9913053293377101,-6.228440220497299,0.8272081401097279,-19.739208798839314,6.283185307179568
1.23,0.12541578367894513,0.9921129703980628,-6.233514302028786,0.7880580424230395,-19.739208798815362,6.283185307179567
1.231,0.11917979383268526,0.9928814454225561,-6.238342299738649,0.7488768414860866,-19.73920879879139,6.283185307179567
1.232,0.11293909907946784,0.9936107240810349,-6.242924023120347,0.70966608408728,-19.739208798767386,6.283185307179567
1.233,0.10669394578644457,0.9943007775907307,-6.247259291389848,0.6704273181807117,-19.739208798743366,6.283185307179568
1.234,0.10044458049668814,0.9949515787173964,-6.251347933492749,0.631162092825042,-19.73920879871934,6.283185307179568
1.235,0.09419124991945907,0.9955631017763807,-6.255189788111016,0.5918719581223445,-19.7392087986953,6.283185307179567
1.236,0.08793420092046611,0.996135322633641,-6.258784703669339,0.5525584651569089,-19.739208798671235,6.283185307179566
1.237,0.0816736805121204,0.9966682187066945,-6.262132538341098,0.5132231659340055,-19.739208798647166,6.283185307179567
1.238,0.07540993584378392,0.997161768965509,-6.26523316005395,0.47386761331861427,-19.739208798623082,6.283185307179567
1.239,0.0691432141920125,0.9976159539333318,-6.268086446495029,0.43449336097411884,-19.73920879859898,6.283185307179568
1.24,0.06287376295079386,0.9980307556874572,-6.270692285115758,0.39510196330097036,-19.739208798574875,6.283185307179567
1.241,0.05660182962178099,0.9984061578599337,-6.273050573136281,0.3556949753753217,-19.73920879855075,6.283185307179567
1.242,0.0503276618045213,0.9987421456382078,-6.275161217549503,0.31627395288763555,-19.739208798526626,6.283185307179568
1.243,0.04405150718668198,0.9990387057657089,-6.277024135124746,0.2768404520812682,-19.739208798502492,6.283185307179567
1.244,0.037773613534271805,0.9992958265423704,-6.278639252411026,0.23739602969103174,-19.73920879847835,6.283185307179567
1.245,0.03149422868185992,0.9995134978250909,-6.280006505739935,0.19794224288173728,-19.739208798454204,6.283185307179567
1.246,0.02521360052279193,0.9996917110281338,-6.2811258412281346,0.15848064918672103,-19.73920879843005,6.283185307179567
1.247,0.01893197699940365,0.9998304591234644,-6.281997214779478,0.11901280644635613,-19.739208798405894,6.283185307179567
1.248,0.012649606093232974,0.9999297366410265,-6.28262059208673,0.07954027274655268,-19.739208798381743,6.283185307179567
1.249,0.00636673581523019,0.9999895396689574,-6.2829959486329106,0.04006460635724809,-19.739208798357584,6.283185307179567
1.25,0.00008361419596715318,1.000009865853741,-6.2831232696922426,0.0005873656708904398,-19.739208798333415,6.283185307179567
1.2510000000000001,-0.006199510724154296,0.9999907144002993,-6.283002550330726,-0.03888989085908287,-19.739208798309257,6.283185307179567
1.252,-0.012482390904694298,0.9999320860720229,-6.282633795406311,-0.07836560477976866,-19.739208798285095,6.283185307179567
1.2530000000000001,-0.018764778314966916,0.9998339831907398,-6.2820170195686975,-0.11783821770032128,-19.739208798260936,6.283185307179568
1.254,-0.02504642494383169,0.9996964096366223,-6.2811522472587376,-0.15730617135347336,-19.739208798236778,6.2831853071795685
1.2550000000000001,-0.03132708280948439,0.9995193708480329,-6.280039512707459,-0.19676790765705138,-19.739208798212623,6.283185307179568
1.256,-0.037606503969246606,0.9993028738213082,-6.278678859934699,-0.23622186877548396,-19.739208798188482,6.283185307179568
1.2570000000000001,-0.04388444052935379,0.9990469271104819,-6.27707034274735,-0.2756664971813,-19.73920879816435,6.283185307179568
1.258,-0.05016064465474131,0.9987515408269456,-6.275214024737224,-0.31510023571661455,-19.73920879814021,6.283185307179568
1.2590000000000001,-0.056434868578828234,0.9984167266390487,-6.273109979278524,-0.3545215276546001,-19.73920879811609,6.283185307179568
1.26,-0.06270686461329836,0.9980424977716364,-6.270758289524936,-0.39392881676094027,-19.739208798091973,6.283185307179568
1.2610000000000001,-0.06897638515787811,0.9976288690055268,-6.268159048406331,-0.4333205473552642,-19.739208798067857,6.283185307179567
1.262,-0.07524318271011103,0.9971758566769259,-6.2653123586250805,-0.47269516437255893,-19.739208798043766,6.283185307179567
1.2630000000000001,-0.08150700987512828,0.9966834786767816,-6.262218332651989,-0.5120511134245569,-19.739208798019682,6.283185307179566
1.264,-0.08776761937541501,0.9961517544500768,-6.25887709272184,-0.5513868408610971,-19.739208797995616,6.283185307179566
1.2650000000000001,-0.09402476406057196,0.9955807049950595,-6.255288770828554,-0.5907007938314565,-19.73920879797155,6.283185307179567
1.266,-0.10027819691707211,0.9949703528624139,-6.251453508719965,-0.6299914203456497,-19.739208797947498,6.283185307179566
1.2670000000000001,-0.10652767107801189,0.9943207221543682,-6.2473714578922115,-0.669257169335695,-19.73920879792347,6.283185307179566
1.268,-0.11277293983285654,0.9936318385237425,-6.243042779583738,-0.7084964907168431,-19.739208797899458,6.283185307179566
1.2690000000000001,-0.11901375663717936,0.9929037291729346,-6.23846764476892,-0.7477078354487672,-19.739208797875463,6.283185307179567
1.27,-0.12524987512239438,0.992136422852845,-6.233646234151295,-0.786889655596712,-19.739208797851482,6.283185307179566
1.2710000000000001,-0.13148104910548197,0.9913299498617412,-6.22857873815642,-0.8260404043925981,-19.73920879782752,6.283185307179566
1.272,-0.13770703259870723,0.9904843420440598,-6.223265356924336,-0.8651585362960811,-19.73920879780358,6.283185307179566
1.2730000000000001,-0.14392757981933063,0.989599632789149,-6.217706300301654,-0.9042425070555611,-19.739208797779668,6.283185307179567
1.274,-0.15014244519931053,0.9886758570299486,-6.211901787833259,-0.9432907737691418,-19.739208797755758,6.283185307179566
1.2750000000000001,-0.15635138339499716,0.9877130512416107,-6.205852048753624,-0.9823017949455363,-19.739208797731884,6.283185307179567
1.276,-0.16255414929681777,0.9867112534400576,-6.1995573219777524,-1.021274030564916,-19.739208797708027,6.283185307179567
1.2770000000000001,-0.16875049803895265,0.9856705031804809,-6.193017856091727,-1.0602059421397023,-19.739208797684206,6.283185307179567
